x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z,f_m,f_x,f_y,f_z
36.00,-0.114490,66.00,36.00,-0.092969,66.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
33.00,-0.132592,66.00,33.00,-0.108656,66.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
30.00,-0.151419,66.00,30.00,-0.124952,66.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
27.00,-0.170357,66.00,27.00,-0.141239,66.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
24.00,-0.189210,66.00,24.00,-0.157337,66.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
21.00,-0.207687,66.00,21,-0.172986,66.00,0.00,-0.03,0.00,0.03,0.00,0.03,0.00,0,0,0,0
18.00,-0.224887,66.00,18,-0.187320,66.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00,0,0,0,0
15.00,-0.240583,66.00,15.00,-0.200167,66.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00,0,0,0,0
12.00,-0.254503,66.00,12.00,-0.211295,66.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00,0,0,0,0
9.00,-0.266126,66.00,9.00,-0.220223,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00,0,0,0,0
6.00,-0.275362,66.00,6.00,-0.226892,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00,0,0,0,0
3.00,-0.281950,66.00,3.00,-0.231067,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00,0,0,0,0
-0.002254,-0.285284,66.00,0.000051,-0.232177,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00,0,0,0,0
-3.00,-0.285979,66.00,-3.00,-0.230871,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
-6.00,-0.283468,66.00,-6.00,-0.226630,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
-9.00,-0.278435,66.00,-9.00,-0.220191,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
-12.00,-0.270417,66.00,-12,-0.211136,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
-15.00,-0.259859,66.00,-15,-0.199964,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
-18.00,-0.247406,66.00,-18,-0.187352,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
-21.00,-0.232922,66.00,-21.00,-0.173200,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
-24.00,-0.217066,66.00,-24.00,-0.158189,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
-27.00,-0.199765,66.00,-27.00,-0.142264,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
-30.00,-0.181634,66.00,-30.00,-0.126054,66.00,0.00,-0.06,0.00,0.06,0.00,0.06,0.00,0,0,0,0
-33,-0.163418,66.00,-33.00,-0.110300,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00,0,0,0,0
-36.00,-0.144896,66.00,-36.00,-0.094775,66.00,0.00,-0.05,0.00,0.05,0.00,0.05,0.00,0,0,0,0
-39.00,-0.126390,66.00,-39.00,-0.079766,66.00,0,-0.05,0.00,0.05,0,0.05,0.00,0,0,0,0
-42.00,-0.109043,66.00,-42.00,-0.066382,66.00,0.00,-0.04,0.00,0.04,0.00,0.04,0.00,0,0,0,0
