x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z
27.00,-0.176227,66.00,27.00,-0.147304,66.00,-1.700000E-3,-2.892300E-2,-5.000000E-4,0.03,0.00,0.03,0.00
24.00,-0.195968,66.00,24,-0.164512,66.00,-1.900000E-3,-3.145600E-2,-5.000000E-4,0.03,0.00,0.03,0.00
21.00,-0.215312,66.00,21,-0.181279,66.00,-1.900000E-3,-3.403300E-2,-5.000000E-4,0.03,0.00,0.03,0.00
18.00,-0.233680,66.00,18.00,-0.197049,66.00,-2.000000E-3,-3.663100E-2,-5.000000E-4,0.04,0.00,0.04,0.00
15.00,-0.250471,66.00,15.00,-0.211253,66.00,-2.000000E-3,-3.921800E-2,-5.000000E-4,0.04,0.00,0.04,0.00
12.00,-0.265484,66.00,12.00,-0.223722,66.00,-2.100000E-3,-4.176200E-2,-6.000000E-4,0.04,0.00,0.04,0.00
9.00,-0.278275,66.00,9.00,-0.234047,66.00,-2.160000E-3,-4.422800E-2,-5.000000E-4,0.04,0.00,0.04,0.00
6.00,-0.288574,66.00,6.00,-0.241999,66.00,-2.210000E-3,-4.657500E-2,-6.000000E-4,0.05,0.00,0.05,0.00
3.00,-0.296075,66.00,3.00,-0.247325,66.00,-2.190000E-3,-4.875000E-2,-7.000000E-4,0.05,0.00,0.05,0.00
-0.002057,-0.300451,66.00,0.000141,-0.249749,66.00,-2.198660E-3,-5.070200E-2,-8.000000E-4,0.05,0.00,0.05,0.00
-3.00,-0.301552,66.00,-3.00,-0.249174,66.00,-2.140000E-3,-5.237800E-2,-8.000000E-4,0.05,0.00,0.05,0.00
-6.00,-0.299757,66.00,-6.00,-0.246014,66.00,-2.080000E-3,-5.374300E-2,-1.000000E-3,0.05,0.00,0.05,0.00
-9.00,-0.294566,66.00,-9.00,-0.239795,66.00,-1.970000E-3,-5.477100E-2,-1.100000E-3,0.05,0.00,0.05,0.00
-12.00,-0.286486,66.00,-12,-0.231034,66.00,-1.900000E-3,-5.545200E-2,-1.200000E-3,0.06,0.00,0.06,0.00
-15.00,-0.275834,66.00,-15,-0.220053,66.00,-1.700000E-3,-5.578100E-2,-1.300000E-3,0.06,0.00,0.06,0.00
-18.00,-0.262674,66.00,-18,-0.206932,66.00,-1.500000E-3,-5.574200E-2,-1.400000E-3,0.06,0.00,0.06,0.00
-21.00,-0.247514,66.00,-21,-0.192192,66.00,-1.300000E-3,-5.532200E-2,-1.600000E-3,0.06,0.00,0.06,0.00
-24.00,-0.230793,66.00,-24.00,-0.176297,66.00,-1.100000E-3,-5.449600E-2,-1.600000E-3,0.05,0.00,0.05,0.00
-27.00,-0.212995,66.00,-27.00,-0.159751,66.00,-9.000000E-4,-5.324400E-2,-1.600000E-3,0.05,0.00,0.05,0.00
-30.00,-0.193758,66.00,-30.00,-0.142212,66.00,-7.000000E-4,-5.154600E-2,-1.700000E-3,0.05,0.00,0.05,0.00
-33.00,-0.174379,66.00,-33.00,-0.124992,66.00,-5.000000E-4,-4.938700E-2,-1.600000E-3,0.05,0.00,0.05,0.00
-36.00,-0.154551,66.00,-36.00,-0.107798,66.00,-3.000000E-4,-4.675300E-2,-1.600000E-3,0.05,0.00,0.05,0.00
-39.00,-0.135171,66.00,-39.00,-0.091533,66.00,0.000000E+0,-4.363840E-2,-1.600000E-3,0.04,0,0.04,0.00
-42.00,-0.116589,66.00,-42.00,-0.076533,66.00,1.000000E-4,-4.005600E-2,-1.400000E-3,0.04,0.00,0.04,0.00
-45.00,-0.098373,66.00,-45.00,-0.062336,66.00,3.000000E-4,-3.603710E-2,-1.400000E-3,0.04,0.00,0.04,0.00
-48.00,-0.081732,66.00,-48.00,-0.050087,66.00,4.000000E-4,-3.164520E-2,-1.200000E-3,0.03,0.00,0.03,0.00
-51.00,-0.065512,66.00,-51.00,-0.038541,66.00,4.000000E-4,-2.697090E-2,-1.100000E-3,0.03,0.00,0.03,0.00
-54.00,-0.050977,66.00,-54.00,-0.028838,66.00,4.000000E-4,-2.213810E-2,-1.000000E-3,0.02,0.00,0.02,0.00
-57.00,-0.037716,66.00,-57.00,-0.020409,66.00,4.000000E-4,-1.730750E-2,-9.000000E-4,0.02,0.00,0.02,0.00
-60.00,-0.025953,66.00,-60.00,-0.013287,66.00,4.000000E-4,-1.266690E-2,-8.000000E-4,0.01,0.00,0.01,0.00
-63.00,-0.016154,66.00,-63.00,-0.007720,66.00,4.000000E-4,-8.434520E-3,-6.000000E-4,0.01,0.00,0.01,0.00
-66.00,-0.008380,66.00,-66.00,-0.003529,66.00,4.000000E-4,-4.851180E-3,-5.000000E-4,0.00,0.00,0.00,0.00
-69.00,-0.003187,66.00,-69.00,-0.001025,66.00,3.000000E-4,-2.162140E-3,-3.000000E-4,0.00,0.00,0.00,0.00
-72.00,-0.000857,66.00,-72.00,-0.000304,66.00,2.000000E-4,-5.535000E-4,-2.000000E-4,0.00,0.00,0.00,0.00
-75,0.000001,66,-75,0.000001,66,0.000000E+0,0.000000E+0,0.000000E+0,0,0,0,0
75,0.000001,63,75,0.000001,63,0.000000E+0,0.000000E+0,0.000000E+0,0,0,0,0
72.00,-0.000713,63.00,72.00,-0.000230,63.00,-2.000000E-4,-4.829340E-4,-1.000000E-4,0.00,0.00,0.00,0.00
69.00,-0.004153,63.00,69.00,-0.002401,63.00,-2.000000E-4,-1.751750E-3,-2.000000E-4,0.00,0.00,0.00,0.00
66.00,-0.009782,63.00,66.00,-0.006096,63.00,-4.000000E-4,-3.686320E-3,-2.000000E-4,0.00,0.00,0.00,0.00
